,tno,updatetime,tilt_01,tilt_02,tilt_03,tilt_04,tilt_05,tilt_06,tilt_07,batt,temp
0,1,2023-04-01 00:00:00,-19.86245461,21.8992287,-35.42870366,-57.33635808,108.4859652,-129.1746344,-98.0000097,12.14,29.75
1,2,2023-04-01 00:10:00,-20.45254963,21.10221662,-33.3632935,-59.02283113,108.4859652,-129.1746344,-98.0000097,12.14,29.75
2,4,2023-04-01 00:12:00,-18.80831023,21.10221662,-33.3632935,-59.02283113,108.4859652,-129.1746344,-98.0000097,12.14,29.75
3,6,2023-04-01 00:14:00,-18.80831023,21.10221662,-35.42870366,-60.02366379,108.4859652,-128.1427956,-98.0000097,12.14,29.75
4,8,2023-04-01 00:16:00,-18.25856857,21.10221662,-36.82852964,-60.02366379,108.4859652,-128.1427956,-94.81045671,12.14,29.75
5,10,2023-04-01 00:18:00,-16.52748604,21.10221662,-35.42870366,-60.02366379,108.4859652,-128.1427956,-94.81045671,12.14,29.75
6,12,2023-04-01 00:20:00,-16.02436296,21.56673699,-35.42870366,-60.02366379,108.4859652,-128.1427956,-98.0000097,12.14,29.5
7,14,2023-04-01 00:22:00,-16.02436296,21.56673699,-33.3632935,-60.02366379,108.4859652,-128.1427956,-98.0000097,12.14,29.5
8,16,2023-04-01 00:24:00,-16.02436296,21.56673699,-33.3632935,-60.02366379,106.2380377,-128.1427956,-98.0000097,12.14,29.75
9,18,2023-04-01 00:26:00,-16.02436296,21.56673699,-33.3632935,-60.02366379,105.6007566,-129.1746344,-95.07965562,12.14,29.75
10,20,2023-04-01 00:28:00,-14.40634691,21.8992287,-33.3632935,-57.33635808,103.2513099,-128.1427956,-94.81045671,12.14,29.75
11,22,2023-04-01 00:30:00,-14.40634691,20.77955002,-33.3632935,-54.49774943,103.2513099,-129.1746344,-95.07965562,12.14,29.5
12,24,2023-04-01 00:32:00,-16.02436296,21.56673699,-33.3632935,-55.61749861,103.2513099,-128.1427956,-94.81045671,12.14,29.5
13,26,2023-04-01 00:34:00,-16.02436296,21.56673699,-33.3632935,-58.36789677,103.2513099,-128.1427956,-97.6003814,12.14,29.5
14,28,2023-04-01 00:36:00,-16.02436296,22.3454668,-36.82852964,-60.02366379,108.4859652,-128.1427956,-97.6003814,12.14,29.5
15,30,2023-04-01 00:38:00,-18.25856857,21.10221662,-36.82852964,-58.36789677,108.4859652,-127.8555014,-94.81045671,12.14,29.75
16,32,2023-04-01 00:40:00,-18.25856857,21.10221662,-36.82852964,-58.36789677,108.4859652,-126.8353888,-97.6003814,12.14,29.5
17,34,2023-04-01 00:42:00,-20.45254963,21.8992287,-36.82852964,-57.33635808,108.4859652,-128.1427956,-94.568297,12.14,29.5
18,36,2023-04-01 00:44:00,-20.45254963,21.8992287,-35.42870366,-58.36789677,108.4859652,-128.1427956,-97.6003814,12.14,29.5
19,38,2023-04-01 00:46:00,-20.45254963,21.8992287,-33.3632935,-58.36789677,111.6548411,-128.1427956,-97.6003814,12.14,29.5
20,40,2023-04-01 00:48:00,-19.86245461,21.10221662,-33.3632935,-57.33635808,108.4859652,-126.8353888,-97.6003814,12.14,29.5
21,42,2023-04-01 00:50:00,-18.25856857,21.10221662,-33.3632935,-57.33635808,108.4859652,-127.8555014,-97.6003814,12.14,29.5
22,44,2023-04-01 00:52:00,-18.25856857,21.8992287,-33.3632935,-57.33635808,106.2380377,-126.8353888,-97.6003814,12.14,29.5
23,46,2023-04-01 00:54:00,-19.86245461,21.56673699,-33.3632935,-57.33635808,106.2380377,-127.8555014,-97.6003814,12.14,29.5
24,48,2023-04-01 00:56:00,-20.45254963,21.8992287,-33.3632935,-58.36789677,105.6007566,-127.8555014,-97.21835797,12.14,29.5
25,50,2023-04-01 00:58:00,-19.86245461,21.10221662,-32.01951586,-60.02366379,108.4859652,-127.8555014,-97.6003814,12.14,29.5
26,52,2023-04-01 01:10:00,-20.45254963,21.41585715,-33.3632935,-60.02366379,111.6548411,-127.8555014,-98.0000097,12.14,29.5
27,54,2023-04-01 01:12:00,-18.25856857,20.55214805,-33.3632935,-60.02366379,111.6548411,-127.8555014,-97.6003814,12.14,29.5
28,56,2023-04-01 01:14:00,-18.25856857,21.41585715,-33.3632935,-60.02366379,111.6548411,-128.1427956,-97.6003814,12.14,29.5
29,58,2023-04-01 01:16:00,-18.25856857,21.41585715,-32.01951586,-60.02366379,111.6548411,-126.8353888,-97.6003814,12.14,29.5
30,60,2023-04-01 01:18:00,-20.45254963,21.41585715,-33.3632935,-61.02116939,110.8034316,-127.8555014,-97.6003814,12.14,29.5
31,62,2023-04-01 01:20:00,-20.45254963,21.41585715,-32.01951586,-60.02366379,110.8034316,-127.8555014,-97.6003814,12.14,29.5
32,64,2023-04-01 01:22:00,-20.45254963,21.41585715,-30.02117243,-60.02366379,111.6548411,-127.8555014,-97.6003814,12.14,29.5
33,66,2023-04-01 01:24:00,-20.45254963,21.41585715,-30.02117243,-59.02283113,111.6548411,-127.8555014,-97.6003814,12.14,29.5
34,68,2023-04-01 01:26:00,-18.25856857,20.55214805,-33.3632935,-57.33635808,109.2580133,-127.8555014,-97.6003814,12.14,29.5
35,70,2023-04-01 01:28:00,-18.25856857,20.24889774,-36.82852964,-57.33635808,111.6548411,-126.8353888,-97.6003814,12.14,29.5
36,72,2023-04-01 01:30:00,-18.25856857,21.10221662,-36.82852964,-57.33635808,111.6548411,-126.8353888,-97.6003814,12.14,29.5
37,74,2023-04-01 01:32:00,-18.25856857,21.10221662,-36.82852964,-58.36789677,109.2580133,-128.1427956,-97.6003814,12.14,29.5
